District,Year,Below_6_years,6_12_years,12_16_years,16_18_years,18_30_years,30_45_years,45_60_years,60_plus_years,Total_Cases,year_total,female_total
SIROHI,2018,0,0,3,14,24,13,8,0,62,1126596,545842
KOTA ,2018,3,5,10,10,62,37,4,0,131,2120918,1010829
BUNDI,2018,0,0,0,6,60,9,0,0,75,1207649,580227
JHALAWAR,2018,1,2,19,11,72,15,2,0,122,1534017,745725
BARAN,2018,0,2,22,18,42,20,2,0,106,1329239,640087
UDAIPUR,2018,3,5,12,65,119,40,0,0,244,3335634,1632388
BANSWARA,2018,0,0,6,7,34,21,8,0,76,1954019,967213
CHITTORGARH,2018,0,0,9,20,43,26,0,0,98,1678827,827453
DUNGARPUR,2018,0,2,19,17,34,7,1,0,80,1509474,752285
RAJSAMAND,2018,0,0,2,14,25,13,0,0,54,1257319,625354
PRATAPGARH,2018,1,1,14,28,70,29,2,0,145,943425,467560
AJMER,2019,2,4,16,50,137,47,0,0,256,2841694,1385028
BHILWARA,2019,0,4,10,11,115,56,10,0,206,2649689,1306720
NAGAUR,2019,0,0,14,29,91,31,5,0,170,3638948,1772770
TONK,2019,2,2,13,22,65,11,5,0,120,1563644,762599
JAIPUR,2019,4,6,43,67,416,119,9,0,664,7289659,3473849
JHUNJHUNU,2019,2,2,5,10,42,60,31,0,152,2351028,1145399
SIKAR,2019,0,3,8,6,101,41,11,0,170,2945415,1432747
DAUSA,2019,0,1,12,9,91,16,1,0,130,1798063,854385
ALWAR,2019,0,3,23,31,126,44,9,0,236,4042075,1908894
BIKANER,2019,0,0,18,35,58,95,21,0,227,2600639,1235596
CHURU,2019,0,1,10,34,77,59,23,0,204,2243767,1087040
SRI GANGANAGAR,2019,0,4,10,43,140,54,0,0,251,2166341,1018531
HANUMANGARH,2019,0,5,37,16,95,39,4,0,196,1952392,927969
BHARATPUR,2019,0,3,17,11,208,49,0,2,290,2803640,1312165
SAWAIMADHOPUR,2019,0,1,10,16,55,28,5,0,115,1469280,694754
DHOLPUR,2019,1,5,13,10,63,16,0,0,108,1327325,608228
KARAULI,2019,0,4,4,8,52,28,5,0,101,1604263,742158
JODHPUR,2019,0,3,17,34,126,50,1,0,231,4056362,1939790
JALORE,2019,0,0,0,10,30,22,22,0,84,2011841,981422
JAISALMER,2019,0,0,5,12,21,10,0,0,48,736998,339072
